scores_rating,scores_accuracy,scores_cleanliness,scores_checkin,scores_communication,scores_location,scores_value,listing_id
3.67,3.67,3.5,4.5,4.0,3.33,4.0,2564678
4.92,4.92,4.85,4.92,5.0,4.69,4.77,2583929
4.71,4.71,4.58,4.54,4.71,4.92,4.63,2661465
4.25,3.0,4.5,4.0,4.5,4.0,4.0,2679456
4.73,4.78,4.77,4.82,4.8,4.95,4.69,2693387
4.75,4.84,4.81,4.96,4.96,4.6,4.73,755701
4.66,4.61,4.38,4.76,4.82,4.44,4.68,790934
4.93,4.93,4.94,4.96,4.96,4.95,4.89,863120
4.26,4.49,4.37,4.58,4.3,4.84,4.3,887038
4.99,4.98,4.99,4.99,4.99,4.94,4.89,903996
4.92,4.94,4.86,4.98,4.97,4.97,4.91,929914
4.91,4.82,4.86,5.0,4.95,4.32,4.77,931105
4.78,4.83,4.66,4.81,4.93,4.95,4.79,2695259
4.84,4.95,4.86,4.87,4.92,4.86,4.8,949514
4.76,4.88,4.88,4.76,4.88,4.53,4.76,2715815
4.95,4.96,4.97,4.99,5.0,4.83,4.86,960326
4.82,4.86,4.88,4.89,4.92,4.75,4.79,2730613
4.75,4.76,4.63,4.93,4.93,4.22,4.76,966137
4.97,4.98,4.97,4.98,4.98,4.94,4.96,979841
4.97,4.98,4.99,4.99,4.99,4.87,4.93,979926
4.93,4.95,4.96,4.97,4.97,4.82,4.95,979942
4.95,4.95,4.96,4.98,4.99,4.89,4.9,983640
4.78,4.79,4.89,4.86,4.95,4.34,4.81,2730673
4.68,4.79,4.47,4.7,4.76,4.92,4.54,1020810
4.36,4.7,4.6,5.0,4.9,4.5,4.7,1027463
4.0,4.8,3.8,4.4,4.2,4.6,4.6,1027741
5.0,5.0,4.75,5.0,5.0,4.81,4.69,1083987
4.67,4.78,4.67,4.95,4.96,4.75,4.76,1096191
4.75,4.79,4.74,4.85,4.86,4.93,4.71,1171860
4.8,4.78,4.79,4.92,4.92,4.81,4.82,2731202
4.57,4.83,4.83,4.5,4.67,4.5,4.67,2819982
4.79,4.83,4.66,4.97,4.86,4.79,4.66,2824585
4.67,4.5,4.33,4.67,5.0,4.5,4.5,2832376
5.0,5.0,4.6,4.0,5.0,4.8,4.6,2836339
4.92,4.92,4.92,4.99,4.97,4.8,4.87,2844042
4.91,4.91,4.9,4.81,4.93,4.89,4.77,2874486
4.89,4.93,4.94,4.95,4.94,4.68,4.83,1185749
4.85,4.91,4.88,4.87,4.84,4.73,4.85,2907500
4.84,4.89,4.85,4.97,4.98,4.56,4.85,3031898
4.9,4.89,4.78,4.91,4.91,4.95,4.85,1195259
4.31,4.06,4.13,4.88,4.69,4.44,4.5,1242709
4.84,4.86,4.79,4.98,4.98,4.98,4.84,3053081
4.65,4.8,4.87,4.61,4.68,4.59,4.6,1304049
4.94,4.96,4.95,4.99,4.97,4.95,4.89,3068787
4.72,4.73,4.74,4.92,4.84,4.88,4.54,3083343
4.84,4.9,4.68,4.94,4.9,4.85,4.72,1321332
4.89,4.88,4.78,4.94,4.91,4.85,4.68,3172794
4.97,4.97,4.97,5.0,5.0,4.94,4.94,1356190
4.43,4.58,4.5,4.93,4.9,4.93,4.23,1361421
4.92,4.96,4.95,4.99,4.98,4.82,4.93,3267902
4.62,4.73,4.47,5.0,5.0,4.73,4.6,1392594
4.95,4.96,4.97,4.97,4.96,4.92,4.85,3292054
4.88,4.95,4.79,4.93,4.95,4.97,4.81,3308694
4.76,4.8,4.78,4.92,4.91,4.45,4.71,3962072
4.8,4.83,4.69,4.91,4.96,4.88,4.76,3385966
4.89,4.92,4.91,4.98,4.99,4.93,4.86,3979385
5.0,5.0,4.67,5.0,4.67,5.0,4.5,3979425
4.71,4.81,4.76,4.84,4.9,5.0,4.72,4051574
4.86,4.93,4.86,4.9,5.0,4.93,4.86,4051584
4.81,4.84,4.93,4.87,4.9,4.55,4.8,4067870
4.88,4.92,4.96,4.94,4.95,4.93,4.89,3434136
4.87,4.91,4.96,4.96,4.96,4.85,4.73,4075630
5.0,5.0,5.0,5.0,5.0,5.0,5.0,4083903
4.61,4.6,4.52,4.74,4.94,4.84,4.58,4096995
4.17,4.33,4.33,4.5,4.5,4.17,4.17,3445991
4.98,4.98,5.0,5.0,4.95,4.83,4.93,3453656
4.96,4.97,4.88,4.99,4.98,4.9,4.96,4105283
4.49,4.7,4.24,4.85,4.89,4.9,4.5,3485081
4.96,4.97,4.96,4.99,4.99,4.92,4.91,3517984
4.74,4.86,4.81,4.9,4.94,4.61,4.74,3570616
4.73,4.85,4.68,4.85,4.82,4.91,4.7,4150121
4.85,4.87,4.96,4.93,4.89,4.84,4.91,3590692
4.98,4.99,4.98,4.98,4.97,4.91,4.91,4156913
4.95,4.95,4.9,4.98,4.97,4.79,4.9,4214683
4.78,4.89,4.89,4.93,4.91,4.57,4.72,3638744
4.4,4.0,4.2,4.6,4.4,5.0,3.8,3639045
4.83,4.75,4.58,4.98,4.95,4.98,4.83,4227003
4.97,4.97,4.96,4.98,4.98,4.99,4.9,4243309
4.92,4.92,4.92,4.85,4.92,5.0,4.46,3666681
4.85,4.85,4.85,4.94,4.93,4.53,4.84,3696178
4.78,4.86,4.67,4.91,4.88,4.66,4.82,3742513
4.83,4.92,4.86,4.94,4.92,4.81,4.88,3761023
4.87,4.94,4.83,4.96,4.98,4.75,4.87,3783533
4.94,4.94,4.79,4.96,4.96,4.96,4.81,4243905
4.96,4.96,4.9,4.96,4.97,4.87,4.86,4257285
4.83,4.75,5.0,4.75,5.0,4.58,4.58,4335812
4.76,4.81,4.59,4.82,4.86,4.5,4.82,4365466
4.6,4.73,4.24,4.77,4.81,4.88,4.59,4370895
5.0,4.97,4.97,5.0,5.0,4.97,4.92,4394093
5.0,4.89,5.0,5.0,5.0,4.78,5.0,3792844
4.87,5.0,4.78,4.96,5.0,4.74,4.83,4417718
4.98,5.0,4.96,5.0,5.0,4.96,4.91,4457161
4.98,4.98,4.99,5.0,5.0,4.96,4.84,3809530
4.86,5.0,5.0,5.0,5.0,5.0,5.0,4484723
4.55,4.45,4.45,4.64,4.73,4.64,4.55,4503414
4.82,4.92,4.86,4.87,4.89,4.75,4.88,3811926
4.8,4.86,4.72,4.96,4.94,4.94,4.78,3870522
4.64,4.63,4.56,4.85,4.88,4.66,4.6,4567558
4.59,4.51,4.62,4.62,4.78,4.97,4.54,3897045
4.7,4.87,4.33,5.0,4.9,4.59,4.55,3946324
4.96,4.96,4.82,4.99,5.0,4.93,4.93,4592031
5.0,5.0,5.0,5.0,5.0,5.0,5.0,3951336
4.61,4.63,4.5,4.92,4.92,4.83,4.68,4598631
4.8,4.81,4.88,4.9,4.96,4.97,4.73,3953322
4.85,4.9,4.9,5.0,4.85,4.75,4.55,6053269
4.79,4.83,4.66,4.93,4.91,4.52,4.79,4632510
4.83,4.89,4.9,4.91,4.97,4.94,4.81,6057908
4.95,4.9,4.96,4.97,4.98,4.96,4.95,6065318
4.82,4.9,4.75,4.79,4.95,4.86,4.76,4644849
4.96,5.0,4.88,5.0,4.99,4.94,4.88,6086065
4.86,4.89,4.64,4.93,4.93,4.78,4.59,4662201
4.63,4.56,4.56,5.0,4.88,4.5,4.38,6103492
4.83,4.88,4.82,4.93,4.95,4.96,4.82,4730797
4.85,4.88,4.85,4.88,4.91,4.93,4.8,4731523
4.67,4.6,4.51,4.76,4.84,4.86,4.5,6133986
5.0,5.0,4.91,5.0,4.97,5.0,4.98,4785815
4.81,4.71,4.45,5.0,5.0,4.97,4.72,4786970
4.93,4.98,4.99,4.97,4.95,4.72,4.84,4793938
4.73,4.78,4.9,4.63,4.58,4.93,4.6,6153674
4.41,4.74,3.93,4.73,4.75,4.79,4.58,6185638
4.76,4.79,4.86,4.96,4.95,4.99,4.68,4803582
4.9,4.87,5.0,4.97,4.77,4.8,4.6,4840199
4.97,4.95,5.0,5.0,4.95,4.89,4.81,4840753
4.92,4.94,4.9,4.95,4.92,4.91,4.9,4852830
4.65,4.7,4.64,4.8,4.89,4.43,4.63,6232258
4.73,4.8,4.56,4.84,4.84,4.84,4.7,4872152
4.62,4.73,4.54,4.96,4.96,4.72,4.48,6288917
4.83,4.9,4.8,4.97,4.93,4.86,4.8,6363328
4.38,4.62,4.38,4.79,4.83,4.57,4.36,4923963
4.79,4.84,4.88,4.91,4.98,4.47,4.63,6365974
4.95,4.97,4.97,4.95,4.96,4.91,4.93,6374350
4.57,5.0,5.0,5.0,5.0,4.86,4.71,4925062
4.67,4.87,4.61,4.87,4.96,4.43,4.7,4930338
4.8,4.92,4.77,4.89,4.97,4.82,4.8,6374890
4.98,4.98,4.99,4.98,5.0,4.99,4.94,5074013
4.86,4.83,4.84,4.91,4.91,4.85,4.78,5102125
4.71,4.81,4.79,4.87,4.88,4.83,4.77,6378085
4.92,4.94,4.92,4.97,4.96,4.82,4.9,5117490
4.94,5.0,5.0,4.83,5.0,5.0,4.94,6386641
5.0,5.0,4.33,5.0,5.0,5.0,4.5,5126218
4.92,4.83,4.88,4.96,4.92,4.92,5.0,6396451
5.0,5.0,5.0,5.0,5.0,4.88,5.0,6419072
4.89,4.86,4.82,4.92,4.95,4.96,4.88,5195252
4.91,4.94,4.83,4.96,4.96,4.93,4.9,5205377
4.89,4.96,4.92,4.94,4.93,4.8,4.77,5210927
4.92,4.92,4.95,5.0,4.99,4.69,4.83,5210931
4.91,4.98,4.92,4.98,5.0,4.79,4.79,6423299
4.31,4.33,4.38,4.93,4.67,4.5,4.14,6424931
4.82,4.9,4.79,4.98,4.99,4.91,4.76,6447131
4.91,4.92,4.96,5.0,4.98,4.81,4.87,5231461
5.0,4.93,4.96,5.0,4.93,4.81,5.0,6460914
4.58,4.73,4.66,4.7,4.8,4.49,4.67,5283285
4.78,4.92,4.84,4.78,4.76,4.75,4.78,6472628
4.9,4.93,4.97,4.93,4.93,4.89,4.86,5297152
4.9,4.9,4.85,4.96,4.93,4.88,4.87,6480445
4.75,4.81,4.55,4.94,5.0,4.74,4.74,5320006
4.54,4.61,4.19,4.89,4.94,4.93,4.57,5321981
4.92,4.85,4.77,4.85,5.0,5.0,4.77,6488146
4.84,4.89,4.85,4.97,4.96,4.92,4.88,5359984
4.81,4.83,4.69,4.91,4.96,4.84,4.75,6499322
4.98,5.0,5.0,4.97,4.98,4.96,4.91,5406217
4.86,4.93,4.79,4.97,4.96,4.82,4.82,6504170
4.44,4.64,4.81,4.7,4.71,4.12,4.62,5496659
4.61,4.72,4.85,4.7,4.48,4.84,4.48,6515667
4.82,4.79,4.9,4.82,4.79,4.93,4.65,6528643
4.79,4.81,4.84,4.85,4.71,4.95,4.6,6528832
4.83,4.86,4.86,4.83,4.76,4.96,4.65,6528867
4.71,4.75,4.88,4.69,4.46,4.85,4.46,6528967
4.79,4.71,4.75,5.0,4.88,4.63,4.63,6552046
4.97,4.97,4.84,5.0,4.99,4.98,4.88,6553226
4.88,4.92,4.93,4.93,4.91,4.94,4.76,5537682
4.88,4.9,4.89,4.88,4.92,4.94,4.79,5537683
4.93,4.91,4.9,4.95,4.96,4.61,4.85,6576714
4.86,4.94,4.86,4.97,4.99,4.96,4.87,6588681
4.97,4.98,4.99,4.99,4.99,4.92,4.94,6612044
4.96,4.95,4.85,4.99,4.98,4.93,4.93,5571262
4.56,4.63,4.55,4.74,4.68,4.32,4.61,5576190
4.84,4.95,4.89,4.92,4.92,4.73,4.86,5576191
4.98,4.97,5.0,5.0,5.0,4.93,4.94,6634916
4.95,5.0,4.97,5.0,4.95,4.89,4.84,5629872
4.86,5.0,4.93,4.96,4.97,4.83,4.79,6644005
4.95,4.86,4.96,4.97,5.0,4.96,4.92,6654182
4.85,4.89,4.81,5.0,4.93,4.81,4.72,6673071
4.95,4.98,5.0,4.96,4.99,4.86,4.94,5645139
4.92,4.94,4.92,4.98,4.98,4.92,4.85,6686012
4.78,4.83,4.86,4.91,4.92,4.71,4.73,5748576
5.0,5.0,4.91,5.0,5.0,5.0,4.91,6690014
4.93,4.93,4.72,4.93,5.0,4.48,4.9,5785758
4.81,4.93,4.48,5.0,4.96,4.56,4.7,5804791
4.88,4.96,4.85,4.96,4.96,4.54,4.73,5805991
4.94,4.94,4.78,4.94,5.0,4.56,4.83,5807478
4.7,4.89,4.37,4.89,4.89,4.44,4.63,5807548
4.56,4.68,4.16,4.94,4.95,4.98,4.62,5847065
4.8,5.0,4.4,4.8,4.8,4.4,4.8,6699565
4.7,4.84,4.92,4.78,4.57,4.89,4.68,6713251
4.66,4.7,4.91,4.82,4.66,4.93,4.55,6716477
4.67,4.7,4.83,4.59,4.4,4.9,4.56,6716705
4.82,4.92,4.98,4.98,4.95,4.16,4.79,6724355
4.97,5.0,4.97,5.0,5.0,4.75,4.94,5850897
4.95,4.94,4.94,4.94,4.98,4.92,4.98,6729727
4.85,4.91,4.92,4.94,4.95,4.26,4.83,5851115
4.65,4.76,4.65,4.92,4.91,4.33,4.7,5861971
4.84,4.81,4.97,4.94,4.94,4.74,4.77,5869607
4.91,4.92,4.7,5.0,5.0,4.75,4.79,6732036
4.9,4.92,4.85,4.93,4.97,4.95,4.84,5874798
4.0,4.25,4.0,4.88,4.5,5.0,3.75,5882164
4.75,5.0,5.0,5.0,5.0,4.75,4.75,6736478
4.7,4.84,4.65,4.91,4.89,4.82,4.66,6750168
4.7,4.84,4.61,4.9,4.92,4.84,4.69,6757098
4.73,4.73,4.4,4.97,4.93,4.5,4.63,6764230
4.73,4.87,4.55,4.93,4.93,4.53,4.8,5980645
4.66,4.6,4.17,4.87,4.98,4.87,4.6,5981743
4.45,4.53,4.06,4.75,4.82,3.98,4.53,6764833
4.77,5.0,5.0,5.0,4.69,4.23,4.46,6768827
4.86,4.96,4.98,4.82,4.73,4.98,4.79,6780171
4.97,4.97,4.97,4.98,4.99,4.97,4.93,6782452
4.58,4.77,4.42,4.88,4.85,4.5,4.62,6790238
4.62,4.66,4.79,4.79,4.93,4.69,4.62,5996942
5.0,5.0,5.0,5.0,5.0,5.0,5.0,6014128
4.73,4.83,4.69,4.87,4.85,4.71,4.82,6039038
4.94,4.94,5.0,4.89,4.72,4.97,4.61,6045978
4.67,5.0,5.0,4.83,5.0,4.67,4.83,6051322
5.0,4.71,4.86,5.0,4.93,4.93,4.79,7360731
4.76,4.81,4.81,4.95,5.0,4.67,4.71,6790448
4.87,4.91,4.82,4.99,4.98,4.74,4.82,7370245
4.72,4.83,4.71,4.76,4.64,4.81,4.59,6793653
4.91,4.88,4.94,4.97,4.94,4.69,4.59,7384649
4.8,4.84,4.96,4.92,4.73,4.92,4.61,6853688
4.61,4.63,4.72,4.77,4.6,4.88,4.53,6853914
4.75,4.79,4.95,4.76,4.55,4.95,4.39,6854069
4.85,4.82,4.86,4.9,4.92,4.67,4.77,6855475
4.86,4.82,4.97,4.97,4.98,4.98,4.85,7389646
5.0,5.0,5.0,5.0,5.0,5.0,4.5,7416788
4.75,4.84,4.93,4.85,4.74,4.97,4.64,6863046
4.9,4.94,4.92,4.9,4.97,4.94,4.83,7421326
4.63,4.7,4.79,4.78,4.6,4.91,4.57,6863178
4.4,5.0,3.75,5.0,5.0,4.8,4.8,7483739
4.97,4.99,4.99,4.99,4.96,4.93,4.88,6897078
4.82,4.86,4.9,4.9,4.93,4.97,4.72,7509321
4.88,5.0,4.88,4.88,4.88,4.75,5.0,6945901
4.81,4.85,4.85,4.96,4.92,4.5,4.73,7562307
4.73,4.83,4.68,4.93,4.85,4.34,4.79,6957805
4.76,4.83,4.83,4.92,4.96,4.58,4.63,7564825
5.0,4.9,4.8,5.0,4.9,4.6,4.9,6967492
4.96,4.98,4.97,4.95,4.98,4.96,4.96,6990105
4.95,4.97,4.94,4.98,4.99,4.98,4.84,7572706
4.66,4.86,4.71,4.82,4.9,4.89,4.72,6993421
4.99,4.99,4.99,4.97,4.97,4.83,4.92,6994290
4.8,4.89,4.89,5.0,5.0,4.33,4.89,7022763
4.84,4.86,4.86,4.97,4.97,4.89,4.77,7025225
5.0,5.0,4.99,5.0,5.0,4.87,4.89,7573465
4.98,4.98,5.0,4.95,4.98,4.88,4.95,7575577
4.89,4.95,4.79,4.97,4.97,4.97,4.83,7084894
4.38,4.63,4.75,4.63,5.0,3.5,4.5,7580940
4.98,4.95,5.0,4.98,4.93,4.91,4.91,7092080
4.88,4.89,4.84,4.94,4.92,4.89,4.8,7097488
4.91,4.96,4.92,4.99,4.98,4.94,4.91,7582520
4.58,4.7,4.21,4.75,4.94,4.87,4.66,7583774
4.45,4.48,4.3,4.88,4.83,4.7,4.33,7116810
4.78,4.9,4.81,4.85,4.86,4.93,4.82,7602989
5.0,5.0,5.0,5.0,5.0,5.0,5.0,7613172
4.68,4.74,4.47,4.84,4.95,4.79,4.53,7127223
4.9,4.96,4.88,4.96,4.96,4.91,4.86,7176158
4.79,4.84,4.59,4.9,4.96,4.92,4.56,7617158
4.0,4.0,4.67,4.33,4.33,4.67,3.67,7630479
4.78,4.89,4.48,4.94,4.95,4.86,4.75,7239181
4.86,5.0,4.86,4.93,4.93,5.0,4.57,7264941
4.92,4.96,4.68,4.96,4.96,4.96,4.88,7274926
4.74,4.65,4.87,4.96,4.91,4.43,4.74,7646381
5.0,4.88,5.0,5.0,5.0,4.88,4.63,7649812
4.97,4.97,4.97,4.99,4.95,4.92,4.97,7291481
4.85,4.91,4.85,4.95,4.92,4.95,4.82,7678127
4.75,4.86,4.81,4.9,4.91,4.81,4.81,7319042
4.8,4.89,4.94,4.94,4.9,4.77,4.77,8988738
4.95,4.97,4.98,4.98,4.99,4.85,4.95,7692835
4.92,4.92,4.91,4.86,4.96,4.84,4.77,7713352
5.0,5.0,5.0,5.0,5.0,4.92,5.0,7718819
5.0,5.0,5.0,5.0,5.0,5.0,5.0,7729906
5.0,4.9,5.0,5.0,5.0,5.0,4.9,7760721
4.91,4.91,4.91,4.95,4.96,4.84,4.89,9007351
4.99,4.99,4.98,4.98,4.97,4.88,4.84,7772110
4.89,4.93,4.94,4.93,4.97,4.78,4.82,7783924
4.81,4.9,4.8,4.95,4.9,4.88,4.82,7810030
4.93,4.97,4.8,4.91,4.92,4.98,4.87,9049864
4.79,4.86,4.79,4.91,4.92,4.75,4.72,7825273
4.8,4.83,4.85,4.95,4.9,4.76,4.78,7825308
4.95,4.97,4.95,4.97,4.98,4.82,4.95,7896539
4.62,4.79,4.88,4.88,4.85,4.71,4.67,9059696
4.96,4.96,4.96,4.98,4.99,4.87,4.91,9088488
4.87,4.84,4.71,4.94,4.97,4.81,4.77,9113705
5.0,5.0,5.0,4.75,5.0,5.0,4.88,7906341
4.81,4.93,4.74,4.98,4.98,4.81,4.78,9115645
4.77,4.86,4.64,4.83,4.85,4.88,4.81,9133070
4.73,4.83,4.78,4.92,4.95,4.97,4.72,7919400
4.87,4.93,4.99,4.93,5.0,4.43,4.86,9136731
4.81,4.9,4.59,4.84,4.9,4.72,4.77,7947804
4.96,4.98,4.95,5.0,4.99,4.98,4.87,9165281
4.93,4.96,4.96,5.0,5.0,4.92,4.72,7975015
4.8,4.85,4.85,4.9,4.85,4.77,4.76,7989457
4.81,4.85,4.8,4.96,4.95,4.96,4.78,9319078
4.99,5.0,5.0,5.0,5.0,4.96,4.96,9342355
4.75,4.85,4.56,4.87,4.87,4.79,4.77,9351265
4.78,4.79,4.74,4.94,4.92,4.65,4.7,8031382
4.93,5.0,4.73,4.97,4.99,4.92,4.94,9403751
4.92,4.92,4.85,5.0,5.0,5.0,4.77,8051756
4.98,4.98,4.98,4.99,5.0,4.83,4.88,9452418
4.57,4.68,4.74,4.83,4.81,4.93,4.55,8053055
4.79,4.77,4.82,4.89,4.89,4.46,4.75,9487892
4.92,5.0,4.95,4.97,4.97,4.3,4.97,8098937
4.67,4.74,4.81,4.93,4.91,4.18,4.75,8098969
5.0,5.0,5.0,5.0,5.0,5.0,5.0,9570922
4.91,4.95,4.99,4.99,4.99,4.29,4.82,8151461
5.0,5.0,5.0,5.0,5.0,5.0,5.0,9587656
4.98,4.98,5.0,4.95,4.98,4.98,4.98,9588999
4.88,4.91,4.87,4.96,4.95,4.95,4.82,8153968
4.9,4.96,4.91,4.93,4.91,4.77,4.8,8181598
4.78,4.91,4.78,4.97,4.92,4.46,4.83,9590401
4.88,5.0,5.0,5.0,5.0,4.67,5.0,9610654
4.54,4.65,4.48,4.76,4.76,4.76,4.59,9632414
4.7,4.77,4.7,4.92,4.89,4.79,4.71,8188570
5.0,5.0,5.0,5.0,5.0,5.0,4.91,9637023
4.92,4.98,4.93,4.94,4.98,4.97,4.88,8213703
4.88,4.89,4.93,4.96,4.97,4.84,4.88,9645880
4.93,4.94,4.99,4.94,5.0,4.98,4.88,8229081
4.98,4.98,4.98,4.99,4.99,4.96,4.94,9660334
4.7,4.71,4.61,4.92,4.93,4.81,4.64,8272970
4.25,3.5,4.0,4.25,4.5,4.5,4.0,8273329
5.0,4.71,4.86,5.0,5.0,4.71,4.29,8273701
4.46,4.75,4.92,4.73,4.67,4.45,4.82,9679005
4.75,4.85,4.73,4.89,4.87,4.4,4.77,9690523
4.85,4.9,4.92,4.9,4.93,4.74,4.78,9708726
4.7,4.68,4.71,4.87,4.91,4.69,4.69,9767819
4.93,4.97,5.0,5.0,4.96,4.97,4.98,8339990
4.79,4.87,4.68,4.92,4.95,4.68,4.82,9825135
4.75,5.0,5.0,4.89,4.56,5.0,4.78,8384692
4.51,4.67,4.73,4.75,4.81,3.96,4.49,9908933
5.0,5.0,4.0,4.5,4.5,4.5,4.0,9946053
5.0,5.0,5.0,4.67,5.0,5.0,5.0,9993846
4.82,4.92,4.77,4.87,4.92,4.33,4.79,9995220
4.88,4.94,4.94,5.0,4.94,4.94,4.81,8410430
5.0,5.0,5.0,5.0,5.0,4.0,4.0,10011290
4.94,4.94,4.86,4.89,4.94,4.57,4.89,10034077
4.9,4.84,4.73,4.96,4.98,4.97,4.89,10069247
4.87,4.96,4.98,4.91,4.92,4.62,4.8,8429764
4.91,4.92,4.99,4.95,4.98,4.61,4.95,8454437
5.0,5.0,4.75,5.0,5.0,5.0,4.75,8470408
4.59,4.8,4.73,4.86,4.8,4.12,4.71,10070422
4.66,4.72,4.59,4.93,4.95,4.33,4.68,10071396
4.51,4.66,4.55,4.81,4.85,4.11,4.58,10072035
5.0,5.0,5.0,5.0,5.0,4.94,4.89,10090801
4.74,4.84,4.68,4.91,4.87,4.42,4.8,10100747
4.42,4.54,4.34,4.58,4.66,4.14,4.45,10100835
4.66,4.75,4.52,4.88,4.79,4.28,4.61,10101026
4.8,4.88,4.74,4.97,4.98,4.84,4.9,10131101
